# SYNTHETIC DATA — generated by training/generate_data.py. These customers, portfolios and interactions are fabricated. Not real banking data. Loan product lender names are real Indian lenders; their rates and limits are APPROXIMATE figures near published rate cards, not quotes, and imply no offer or approval.
user_id,monthly_income,monthly_expenses,existing_emi,credit_score,employment_type,employment_years,age,dependents,purpose,required_amount,preferred_tenure_months,risk_appetite,SYNTHETIC
syn-0000,289600.0,155400.0,38900.0,807,SALARIED,4.8,57,1,HOME,11021000.0,180,AGGRESSIVE,TRUE
syn-0001,103400.0,59800.0,13500.0,900,SALARIED,9.6,60,0,BUSINESS,3026000.0,24,CONSERVATIVE,TRUE
syn-0002,500000.0,344000.0,30900.0,640,SELF_EMPLOYED,9.5,37,1,PERSONAL,4348000.0,24,MODERATE,TRUE
syn-0003,335800.0,198800.0,21900.0,761,SELF_EMPLOYED,6.6,62,0,PERSONAL,1503000.0,12,CONSERVATIVE,TRUE
syn-0004,43100.0,30700.0,3100.0,757,SALARIED,6.9,59,2,BUSINESS,720000.0,84,AGGRESSIVE,TRUE
syn-0005,112300.0,37000.0,3300.0,699,SALARIED,8.3,50,0,MEDICAL,313000.0,12,AGGRESSIVE,TRUE
syn-0006,450800.0,310800.0,49500.0,602,SALARIED,5.2,43,2,VEHICLE,5178000.0,24,AGGRESSIVE,TRUE
syn-0007,251600.0,130700.0,23900.0,792,SELF_EMPLOYED,4.5,38,1,BUSINESS,3537000.0,24,MODERATE,TRUE
syn-0008,209400.0,64500.0,7500.0,800,RETIRED,8.7,39,0,BUSINESS,4179000.0,84,MODERATE,TRUE
syn-0009,287900.0,98200.0,17000.0,819,SALARIED,7.0,53,2,PERSONAL,2048000.0,24,CONSERVATIVE,TRUE
syn-0010,188500.0,82000.0,15900.0,688,SALARIED,1.7,23,1,EDUCATION,1433000.0,48,MODERATE,TRUE
syn-0011,31400.0,10400.0,3100.0,694,SALARIED,0.2,52,2,MEDICAL,49000.0,36,AGGRESSIVE,TRUE
syn-0012,67200.0,19400.0,4500.0,818,SELF_EMPLOYED,0.9,61,2,EDUCATION,1039000.0,120,AGGRESSIVE,TRUE
syn-0013,75300.0,36800.0,13200.0,704,SALARIED,1.3,33,0,HOME,1351000.0,84,CONSERVATIVE,TRUE
syn-0014,123200.0,57800.0,10200.0,787,SELF_EMPLOYED,7.9,35,0,PERSONAL,353000.0,24,MODERATE,TRUE
syn-0015,475300.0,328700.0,1100.0,609,SALARIED,3.5,55,3,HOME,8549000.0,240,MODERATE,TRUE
syn-0016,381500.0,162700.0,67100.0,731,SALARIED,5.7,32,2,MEDICAL,1342000.0,48,MODERATE,TRUE
syn-0017,171300.0,83200.0,23000.0,800,SALARIED,2.4,52,3,BUSINESS,2116000.0,120,MODERATE,TRUE
syn-0018,110700.0,31000.0,900.0,822,CONTRACT,10.1,33,3,EDUCATION,2895000.0,84,CONSERVATIVE,TRUE
syn-0019,317600.0,137000.0,30700.0,832,SALARIED,8.0,50,0,BUSINESS,2222000.0,84,CONSERVATIVE,TRUE
syn-0020,191600.0,119700.0,33000.0,707,SELF_EMPLOYED,12.0,37,0,BUSINESS,3752000.0,36,MODERATE,TRUE
syn-0021,48700.0,13200.0,3200.0,671,SALARIED,3.9,27,1,MEDICAL,408000.0,12,AGGRESSIVE,TRUE
syn-0022,26900.0,10300.0,1200.0,812,SALARIED,0.7,59,0,MEDICAL,152000.0,48,MODERATE,TRUE
