# SYNTHETIC DATA — generated by training/generate_data.py. These customers, portfolios and interactions are fabricated. Not real banking data. Loan product lender names are real Indian lenders; their rates and limits are APPROXIMATE figures near published rate cards, not quotes, and imply no offer or approval.
user_id,record_type,days_ago,product_id,purpose,amount,tenure,strategy,suitability,status,event_type,SYNTHETIC
syn-0000,RECOMMENDATION,26.0,EL-302,BUSINESS,108500.0,24,BORROW_20_LIQUIDATE_80,0.943,RECOMMENDED,,TRUE
syn-0000,EVENT,25.244292610266225,EL-302,,,,,,,VIEWED,TRUE
syn-0003,RECOMMENDATION,492.1,HL-103,MEDICAL,141400.0,12,BORROW_60_LIQUIDATE_40,0.939,RECOMMENDED,,TRUE
syn-0003,EVENT,491.45749354491454,HL-103,,,,,,,DECLINED,TRUE
syn-0005,RECOMMENDATION,296.7,PL-403,HOME,5552300.0,120,BORROW_20_LIQUIDATE_80,0.876,RECOMMENDED,,TRUE
syn-0005,EVENT,296.2042628303069,PL-403,,,,,,,ACCEPTED,TRUE
syn-0006,RECOMMENDATION,307.8,HL-103,MEDICAL,1715500.0,24,BORROW_40_LIQUIDATE_60,0.392,RECOMMENDED,,TRUE
syn-0006,EVENT,307.07573280338966,HL-103,,,,,,,DECLINED,TRUE
syn-0006,RECOMMENDATION,506.4,EL-303,PERSONAL,983100.0,84,BORROW_100,0.392,RECOMMENDED,,TRUE
syn-0006,EVENT,505.92609292969433,EL-303,,,,,,,VIEWED,TRUE
syn-0006,RECOMMENDATION,359.2,VL-203,HOME,140200.0,48,BORROW_80_LIQUIDATE_20,0.605,RECOMMENDED,,TRUE
syn-0006,EVENT,358.25924637923146,VL-203,,,,,,,VIEWED,TRUE
syn-0006,RECOMMENDATION,511.4,ML-501,MEDICAL,5857800.0,48,BORROW_60_LIQUIDATE_40,0.53,RECOMMENDED,,TRUE
syn-0006,EVENT,510.7234924333403,ML-501,,,,,,,DECLINED,TRUE
syn-0007,RECOMMENDATION,351.4,EL-303,PERSONAL,2149200.0,84,BORROW_40_LIQUIDATE_60,0.665,RECOMMENDED,,TRUE
syn-0007,EVENT,350.65848872801445,EL-303,,,,,,,ACCEPTED,TRUE
syn-0007,RECOMMENDATION,339.4,PL-403,HOME,609800.0,48,LIQUIDATE_100,0.655,RECOMMENDED,,TRUE
syn-0007,EVENT,339.2828316779581,PL-403,,,,,,,ACCEPTED,TRUE
syn-0007,RECOMMENDATION,141.6,BL-601,PERSONAL,2446200.0,12,BORROW_40_LIQUIDATE_60,0.579,RECOMMENDED,,TRUE
syn-0007,EVENT,141.00899323484265,BL-601,,,,,,,VIEWED,TRUE
syn-0007,RECOMMENDATION,331.3,EL-302,PERSONAL,638700.0,24,LIQUIDATE_100,0.63,RECOMMENDED,,TRUE
syn-0007,EVENT,330.7563636292624,EL-302,,,,,,,DECLINED,TRUE
syn-0013,RECOMMENDATION,513.7,EL-301,PERSONAL,2958600.0,120,BORROW_100,0.325,RECOMMENDED,,TRUE
syn-0013,EVENT,512.9024966526231,EL-301,,,,,,,VIEWED,TRUE
syn-0013,RECOMMENDATION,514.7,EL-301,MEDICAL,136900.0,24,BORROW_80_LIQUIDATE_20,0.665,RECOMMENDED,,TRUE
syn-0013,EVENT,514.6134210147602,EL-301,,,,,,,DECLINED,TRUE
syn-0013,RECOMMENDATION,254.7,EL-303,VEHICLE,173900.0,60,LIQUIDATE_100,0.409,RECOMMENDED,,TRUE
syn-0013,EVENT,254.38544251266092,EL-303,,,,,,,VIEWED,TRUE
syn-0013,RECOMMENDATION,48.5,VL-201,PERSONAL,107300.0,36,BORROW_80_LIQUIDATE_20,0.425,RECOMMENDED,,TRUE
syn-0013,EVENT,47.773265627624085,VL-201,,,,,,,VIEWED,TRUE
syn-0013,RECOMMENDATION,164.8,HL-101,VEHICLE,1549700.0,24,BORROW_20_LIQUIDATE_80,0.309,RECOMMENDED,,TRUE
