# SYNTHETIC DATA — generated by training/generate_data.py. These customers, portfolios and interactions are fabricated. Not real banking data. Loan product lender names are real Indian lenders; their rates and limits are APPROXIMATE figures near published rate cards, not quotes, and imply no offer or approval.
product_id,lender,product_name,purposes,annual_rate,min_amount,max_amount,min_tenure_months,max_tenure_months,min_credit_score,min_monthly_income,processing_fee_pct,SYNTHETIC
HL-101,SBI,SBI Home Loan (Regular),HOME,8.5,300000,75000000,60,360,650,25000,0.35,TRUE
HL-102,HDFC Bank,HDFC Bank Home Loan,HOME,8.75,500000,100000000,60,360,700,30000,0.5,TRUE
HL-103,ICICI Bank,ICICI Bank Home Loan,HOME,8.75,300000,100000000,60,360,700,25000,0.5,TRUE
HL-104,LIC Housing Finance,LIC HFL Griha Suvidha,HOME,8.6,200000,150000000,60,360,640,22000,0.25,TRUE
VL-201,SBI,SBI New Car Loan,VEHICLE,9.2,100000,5000000,12,84,700,25000,0.5,TRUE
VL-202,HDFC Bank,HDFC Bank Car Loan,VEHICLE,9.4,100000,10000000,12,84,700,25000,0.5,TRUE
VL-203,Bajaj Finserv,Bajaj Used Car & Two-Wheeler Loan,VEHICLE,13.5,50000,1500000,12,60,640,18000,2.0,TRUE
EL-301,SBI,SBI Scholar Loan,EDUCATION,8.15,400000,7500000,12,180,600,0,0.0,TRUE
EL-302,Bank of Baroda,Baroda Scholar,EDUCATION,8.4,400000,12500000,12,180,600,0,0.0,TRUE
EL-303,Axis Bank,Axis Bank Education Loan (Unsecured),EDUCATION,13.7,50000,7500000,12,180,640,15000,1.0,TRUE
PL-401,HDFC Bank,HDFC Bank Personal Loan,PERSONAL|MEDICAL,10.9,50000,4000000,12,60,720,25000,1.5,TRUE
PL-402,ICICI Bank,ICICI Bank Personal Loan,PERSONAL,11.25,50000,5000000,12,60,720,25000,1.5,TRUE
PL-403,Bajaj Finserv,Bajaj Flexi Personal Loan,PERSONAL|MEDICAL,16.0,30000,4000000,12,60,685,20000,2.5,TRUE
ML-501,SBI,SBI Aarogya Plus Medical Loan,MEDICAL,10.5,50000,1500000,12,60,650,20000,0.5,TRUE
BL-601,SBI,SBI SME Business Loan,BUSINESS,9.75,500000,25000000,12,120,700,50000,1.0,TRUE
BL-602,IIFL Finance,IIFL Business Loan,BUSINESS,18.0,100000,3000000,12,60,650,30000,2.75,TRUE
