# SYNTHETIC DATA — generated by training/generate_data.py. These customers, portfolios and interactions are fabricated. Not real banking data. Loan product lender names are real Indian lenders; their rates and limits are APPROXIMATE figures near published rate cards, not quotes, and imply no offer or approval.
user_id,archetype,asset_type,current_value,invested_value,SYNTHETIC
syn-0000,cash_heavy,CASH,343200.0,253939.53,TRUE
syn-0000,cash_heavy,FIXED_DEPOSIT,218400.0,179970.92,TRUE
syn-0000,cash_heavy,MUTUAL_FUNDS,62400.0,61651.12,TRUE
syn-0001,cash_heavy,CASH,1486155.0,1630224.09,TRUE
syn-0001,cash_heavy,FIXED_DEPOSIT,945735.0,936986.37,TRUE
syn-0001,cash_heavy,MUTUAL_FUNDS,270210.0,190319.8,TRUE
syn-0002,equity_tilted,CASH,1042512.0,1162040.46,TRUE
syn-0002,equity_tilted,MUTUAL_FUNDS,4170048.0,5221685.16,TRUE
syn-0002,equity_tilted,STOCKS,6515700.0,6669959.66,TRUE
syn-0002,equity_tilted,BONDS,1303140.0,1928319.15,TRUE
syn-0003,balanced,CASH,824895.0,714900.42,TRUE
syn-0003,balanced,FIXED_DEPOSIT,1374825.0,1840101.35,TRUE
syn-0003,balanced,MUTUAL_FUNDS,1649790.0,1406619.16,TRUE
syn-0003,balanced,STOCKS,1099860.0,995864.57,TRUE
syn-0003,balanced,BONDS,549930.0,450706.89,TRUE
syn-0004,volatile_heavy,CASH,12905.0,10963.85,TRUE
syn-0004,volatile_heavy,STOCKS,141955.0,99947.79,TRUE
syn-0004,volatile_heavy,CRYPTO,103240.0,88534.42,TRUE
syn-0005,balanced,CASH,2507010.0,2331325.18,TRUE
syn-0005,balanced,FIXED_DEPOSIT,4178350.0,3391678.79,TRUE
syn-0005,balanced,MUTUAL_FUNDS,5014020.0,3484478.35,TRUE
syn-0005,balanced,STOCKS,3342680.0,3069337.25,TRUE
syn-0005,balanced,BONDS,1671340.0,1540987.51,TRUE
syn-0008,volatile_heavy,CASH,352785.0,266527.43,TRUE
syn-0008,volatile_heavy,STOCKS,3880635.0,3415774.87,TRUE
syn-0008,volatile_heavy,CRYPTO,2822280.0,4086313.1,TRUE
syn-0010,conservative_income,FIXED_DEPOSIT,1114065.0,968975.97,TRUE
syn-0010,conservative_income,BONDS,990280.0,694990.31,TRUE
syn-0010,conservative_income,CASH,371355.0,283911.84,TRUE
syn-0011,volatile_heavy,CASH,43505.0,44095.33,TRUE
syn-0011,volatile_heavy,STOCKS,478555.0,347738.91,TRUE
syn-0011,volatile_heavy,CRYPTO,348040.0,435088.18,TRUE
syn-0016,balanced,CASH,13208490.0,11400818.34,TRUE
syn-0016,balanced,FIXED_DEPOSIT,22014150.0,21243839.02,TRUE
syn-0016,balanced,MUTUAL_FUNDS,26416980.0,19345489.08,TRUE
syn-0016,balanced,STOCKS,17611320.0,24783370.18,TRUE
syn-0016,balanced,BONDS,8805660.0,6662851.99,TRUE
syn-0017,balanced,CASH,2918040.0,2374465.29,TRUE
syn-0017,balanced,FIXED_DEPOSIT,4863400.0,3523445.79,TRUE
syn-0017,balanced,MUTUAL_FUNDS,5836080.0,6857504.4,TRUE
syn-0017,balanced,STOCKS,3890720.0,4880966.35,TRUE
syn-0017,balanced,BONDS,1945360.0,1489620.44,TRUE
syn-0018,balanced,CASH,2465505.0,2736634.66,TRUE
syn-0018,balanced,FIXED_DEPOSIT,4109175.0,4942050.28,TRUE
syn-0018,balanced,MUTUAL_FUNDS,4931010.0,3628529.81,TRUE
syn-0018,balanced,STOCKS,3287340.0,4839983.99,TRUE
syn-0018,balanced,BONDS,1643670.0,1547582.12,TRUE
syn-0019,cash_heavy,CASH,15469245.0,18337977.57,TRUE
syn-0019,cash_heavy,FIXED_DEPOSIT,9844065.0,11176145.15,TRUE
syn-0019,cash_heavy,MUTUAL_FUNDS,2812590.0,2094931.73,TRUE
syn-0021,volatile_heavy,CASH,9960.0,14028.19,TRUE
syn-0021,volatile_heavy,STOCKS,109560.0,81470.41,TRUE
syn-0021,volatile_heavy,CRYPTO,79680.0,67651.77,TRUE
syn-0022,balanced,CASH,15015.0,12253.9,TRUE
syn-0022,balanced,FIXED_DEPOSIT,25025.0,17749.24,TRUE
syn-0022,balanced,MUTUAL_FUNDS,30030.0,39767.37,TRUE
syn-0022,balanced,STOCKS,20020.0,17938.04,TRUE
syn-0022,balanced,BONDS,10010.0,9139.55,TRUE
syn-0023,volatile_heavy,CASH,44105.0,32240.87,TRUE
syn-0023,volatile_heavy,STOCKS,485155.0,365930.09,TRUE
syn-0023,volatile_heavy,CRYPTO,352840.0,335794.17,TRUE
syn-0024,volatile_heavy,CASH,245600.0,182042.9,TRUE
syn-0024,volatile_heavy,STOCKS,2701600.0,3231313.56,TRUE
syn-0024,volatile_heavy,CRYPTO,1964800.0,1406146.36,TRUE
syn-0025,conservative_income,FIXED_DEPOSIT,867420.0,980451.79,TRUE
syn-0025,conservative_income,BONDS,771040.0,611722.19,TRUE
syn-0025,conservative_income,CASH,289140.0,215853.72,TRUE
syn-0026,volatile_heavy,CASH,71005.0,87409.22,TRUE
syn-0026,volatile_heavy,STOCKS,781055.0,867752.35,TRUE
syn-0026,volatile_heavy,CRYPTO,568040.0,428852.83,TRUE
syn-0027,volatile_heavy,CASH,1721965.0,2306231.73,TRUE
syn-0027,volatile_heavy,STOCKS,18941615.0,22672490.89,TRUE
syn-0027,volatile_heavy,CRYPTO,13775720.0,15595345.19,TRUE
syn-0029,equity_tilted,CASH,36168.0,27713.81,TRUE
syn-0029,equity_tilted,MUTUAL_FUNDS,144672.0,105061.28,TRUE
syn-0029,equity_tilted,STOCKS,226050.0,221061.27,TRUE
syn-0029,equity_tilted,BONDS,45210.0,42431.18,TRUE
syn-0030,equity_tilted,CASH,8144.0,6548.82,TRUE
syn-0030,equity_tilted,MUTUAL_FUNDS,32576.0,27309.51,TRUE
syn-0030,equity_tilted,STOCKS,50900.0,37499.52,TRUE
syn-0030,equity_tilted,BONDS,10180.0,8810.1,TRUE
syn-0035,cash_heavy,CASH,56485.0,39956.75,TRUE
syn-0035,cash_heavy,FIXED_DEPOSIT,35945.0,46367.8,TRUE
syn-0035,cash_heavy,MUTUAL_FUNDS,10270.0,7671.21,TRUE
syn-0036,conservative_income,FIXED_DEPOSIT,466245.0,340840.73,TRUE
syn-0036,conservative_income,BONDS,414440.0,533829.06,TRUE
syn-0036,conservative_income,CASH,155415.0,121900.42,TRUE
syn-0037,volatile_heavy,CASH,106580.0,95611.87,TRUE
syn-0037,volatile_heavy,STOCKS,1172380.0,1331147.32,TRUE
syn-0037,volatile_heavy,CRYPTO,852640.0,725915.41,TRUE
syn-0041,volatile_heavy,CASH,387955.0,358218.32,TRUE
syn-0041,volatile_heavy,STOCKS,4267505.0,3084752.4,TRUE
syn-0041,volatile_heavy,CRYPTO,3103640.0,4735013.33,TRUE
syn-0042,equity_tilted,CASH,52304.0,66676.85,TRUE
