# SYNTHETIC RELEVANCE LABELS — produced by training/labeling.py (LABELING_POLICY_VERSION 2.0.0). These are not observed customer choices. A model trained on them partially reproduces that policy.
group_id,user_id,split,label,raw_score,stress_failure_rate,demoted,noised,candidate_id,product_id,lender,tenure_months,strategy,required_amount,loan_amount,emi,total_interest,total_repayment,liquidation_amount,volatile_liquidation_amount,remaining_portfolio_value,resulting_liquidity_ratio,resulting_debt_burden_ratio,affordability_headroom,SYNTHETIC
0,syn-0001,test,0,0.438623,0.335,False,False,BL-601-726240-84-BORROW_40_LIQUIDATE_60,BL-601,SBI,84,BORROW_40_LIQUIDATE_60,3026000.0,726240.0,11962.84,278638.6,1004878.6,1089360.0,0.0,1612740.0,1.0,0.246256,3087.16,TRUE
0,syn-0001,test,0,0.410768,0.335,False,False,BL-601-1089360-120-BORROW_60_LIQUIDATE_40,BL-601,SBI,120,BORROW_60_LIQUIDATE_40,3026000.0,1089360.0,14245.59,620110.45,1709470.45,726240.0,0.0,1975860.0,1.0,0.268333,804.41,TRUE
0,syn-0001,test,1,0.471183,0.335,True,False,BL-601-726240-120-BORROW_40_LIQUIDATE_60,BL-601,SBI,120,BORROW_40_LIQUIDATE_60,3026000.0,726240.0,9497.06,413406.97,1139646.97,1089360.0,0.0,1612740.0,1.0,0.222409,5552.94,TRUE
0,syn-0001,test,0,0.451455,0.335,True,False,BL-601-968320-120-BORROW_40_LIQUIDATE_60,BL-601,SBI,120,BORROW_40_LIQUIDATE_60,3026000.0,968320.0,12662.74,551209.29,1519529.29,1452480.0,0.0,1249620.0,1.0,0.253025,2387.26,TRUE
0,syn-0001,test,0,0.441079,0.335,True,False,BL-601-605200-60-BORROW_20_LIQUIDATE_80,BL-601,SBI,60,BORROW_20_LIQUIDATE_80,3026000.0,605200.0,12784.39,161863.54,767063.54,2420800.0,0.0,271859.14,1.0,0.254201,2265.61,TRUE
0,syn-0001,test,1,0.484236,0.335,True,False,BL-601-605200-84-BORROW_20_LIQUIDATE_80,BL-601,SBI,84,BORROW_20_LIQUIDATE_80,3026000.0,605200.0,9969.03,232198.83,837398.83,2420800.0,0.0,271859.14,1.0,0.226973,5080.97,TRUE
0,syn-0001,test,2,0.51137,0.32,False,False,BL-601-605200-120-BORROW_20_LIQUIDATE_80,BL-601,SBI,120,BORROW_20_LIQUIDATE_80,3026000.0,605200.0,7914.22,344505.81,949705.81,2420800.0,0.0,271859.14,1.0,0.207101,7135.78,TRUE
1,syn-0003,train,3,0.836691,0.215,False,False,NO-LOAN,,,,LIQUIDATE_100,1503000.0,0.0,0.0,0.0,0.0,1503000.0,0.0,3989450.45,0.586462,0.065217,57550.0,TRUE
1,syn-0003,train,0,0.544424,0.335,False,False,PL-401-541080-12-BORROW_60_LIQUIDATE_40,PL-401,HDFC Bank,12,BORROW_60_LIQUIDATE_40,1503000.0,541080.0,47796.31,32475.75,573555.75,360720.0,0.0,5138580.0,0.67894,0.207553,9753.69,TRUE
1,syn-0003,train,0,0.605766,0.27,False,False,PL-401-360720-12-BORROW_40_LIQUIDATE_60,PL-401,HDFC Bank,12,BORROW_40_LIQUIDATE_60,1503000.0,360720.0,31864.21,21650.5,382370.5,541080.0,0.0,4958220.0,0.667262,0.160108,25685.79,TRUE
1,syn-0003,train,0,0.667109,0.245,False,False,PL-401-180360-12-BORROW_20_LIQUIDATE_80,PL-401,HDFC Bank,12,BORROW_20_LIQUIDATE_80,1503000.0,180360.0,15932.1,10825.25,191185.25,721440.0,0.0,4777860.0,0.654701,0.112663,41617.9,TRUE
