# SYNTHETIC. Group sizes in dataset row order, for XGBRanker.
group_id,user_id,split,size
0,syn-0001,test,7
1,syn-0003,train,162
2,syn-0005,train,116
3,syn-0007,train,6
4,syn-0008,train,59
5,syn-0009,train,33
6,syn-0010,train,157
7,syn-0011,train,16
8,syn-0012,test,34
9,syn-0013,test,4
10,syn-0014,train,42
11,syn-0016,train,173
12,syn-0017,test,37
13,syn-0018,train,141
14,syn-0019,train,56
15,syn-0021,train,29
16,syn-0022,train,103
17,syn-0023,train,121
18,syn-0024,train,67
19,syn-0025,test,128
20,syn-0026,train,55
21,syn-0027,train,82
22,syn-0028,train,30
23,syn-0029,train,40
24,syn-0030,train,12
25,syn-0031,train,9
26,syn-0033,train,36
27,syn-0034,train,39
28,syn-0035,test,41
29,syn-0036,test,24
30,syn-0037,train,20
31,syn-0040,train,9
32,syn-0041,test,12
33,syn-0042,train,50
34,syn-0043,train,145
35,syn-0044,train,50
36,syn-0045,test,5
37,syn-0046,train,2
38,syn-0047,train,2
39,syn-0049,train,146
40,syn-0051,train,3
41,syn-0052,train,31
42,syn-0055,train,118
43,syn-0056,train,49
44,syn-0058,train,126
45,syn-0059,test,116
46,syn-0061,train,147
47,syn-0062,train,104
48,syn-0063,train,26
49,syn-0064,train,75
50,syn-0066,test,61
51,syn-0067,train,155
52,syn-0070,test,13
53,syn-0071,train,101
54,syn-0072,test,26
55,syn-0073,train,36
56,syn-0075,train,23
57,syn-0076,train,11
58,syn-0077,test,44
59,syn-0078,train,125
60,syn-0079,train,113
61,syn-0081,train,176
62,syn-0082,train,13
63,syn-0083,test,4
64,syn-0084,train,12
65,syn-0085,train,16
66,syn-0086,train,115
67,syn-0087,train,119
68,syn-0088,train,91
69,syn-0089,train,3
70,syn-0090,train,61
71,syn-0091,train,163
72,syn-0092,train,41
73,syn-0093,train,11
74,syn-0094,test,8
75,syn-0096,train,27
76,syn-0097,train,51
77,syn-0100,train,4
78,syn-0101,train,33
79,syn-0102,train,28
80,syn-0103,train,56
81,syn-0104,train,16
82,syn-0106,train,5
83,syn-0107,test,14
84,syn-0109,train,35
85,syn-0110,test,51
86,syn-0111,train,2
87,syn-0112,train,47
88,syn-0113,train,46
89,syn-0114,train,3
90,syn-0115,test,10
91,syn-0116,test,8
92,syn-0118,train,63
93,syn-0120,train,40
94,syn-0121,train,77
95,syn-0122,train,135
96,syn-0123,train,11
97,syn-0126,train,95
98,syn-0127,train,90
99,syn-0128,test,67
100,syn-0131,train,51
101,syn-0132,train,72
102,syn-0133,train,65
103,syn-0134,train,95
104,syn-0135,train,7
