# SYNTHETIC REPAYMENT OUTCOMES — drawn by training/generate_risk_outcomes.py from a documented latent-risk model. Nobody defaulted; nobody exists.
user_id,defaulted,latent_default_probability,latent_shock,SYNTHETIC
syn-0000,0,0.020597,-0.677049,TRUE
syn-0001,0,0.002057,-0.414211,TRUE
syn-0002,0,0.105008,0.377188,TRUE
syn-0003,0,0.009124,-0.283297,TRUE
syn-0004,0,0.029932,-0.671556,TRUE
syn-0005,0,0.113194,2.153585,TRUE
syn-0006,0,0.3434,0.105393,TRUE
syn-0007,0,0.059054,0.026232,TRUE
syn-0008,0,0.009993,-0.229704,TRUE
syn-0009,0,0.007276,-0.55422,TRUE
syn-0010,0,0.116692,1.306691,TRUE
syn-0011,0,0.004785,-1.909674,TRUE
syn-0012,0,0.011001,-1.111288,TRUE
syn-0013,0,0.283447,0.852595,TRUE
syn-0014,0,0.084385,0.950688,TRUE
syn-0015,1,0.623066,0.93298,TRUE
syn-0016,0,0.003446,-1.227305,TRUE
syn-0017,0,0.045191,1.02902,TRUE
syn-0018,0,0.005289,-0.746865,TRUE
syn-0019,0,0.00205,-0.270624,TRUE
syn-0020,0,0.295438,0.661743,TRUE
syn-0021,0,0.097875,0.290266,TRUE
syn-0022,0,0.027706,1.082318,TRUE
syn-0023,0,0.015541,-1.242663,TRUE
syn-0024,0,0.083551,0.4344,TRUE
syn-0025,0,0.028991,0.101122,TRUE
syn-0026,0,0.195195,0.516992,TRUE
syn-0027,1,0.509542,1.770667,TRUE
syn-0028,0,0.086373,1.016884,TRUE
syn-0029,0,0.454524,1.619174,TRUE
syn-0030,1,0.077556,0.485941,TRUE
syn-0031,0,0.036458,-0.877195,TRUE
syn-0032,0,0.002376,-2.431497,TRUE
syn-0033,0,0.022091,-0.872388,TRUE
syn-0034,0,0.016765,-0.320328,TRUE
syn-0035,0,0.153287,0.299049,TRUE
syn-0036,0,0.021987,-0.503199,TRUE
syn-0037,0,0.036008,-0.657719,TRUE
syn-0038,0,0.507306,2.6314,TRUE
syn-0039,0,0.08554,-1.069911,TRUE
syn-0040,0,0.003222,-1.823684,TRUE
syn-0041,0,0.007566,-0.522906,TRUE
syn-0042,0,0.00595,0.203132,TRUE
syn-0043,0,0.010462,-0.25516,TRUE
syn-0044,0,0.144278,0.491942,TRUE
syn-0045,0,0.005184,-0.136957,TRUE
syn-0046,0,0.021477,-0.361654,TRUE
syn-0047,0,0.035779,1.154226,TRUE
syn-0048,0,0.461252,0.544554,TRUE
syn-0049,0,0.011133,-0.609144,TRUE
syn-0050,0,0.006612,-1.205149,TRUE
syn-0051,0,0.089309,-0.326801,TRUE
syn-0052,0,0.02241,-0.102194,TRUE
syn-0053,0,0.697144,0.812465,TRUE
syn-0054,0,0.329039,0.213337,TRUE
syn-0055,1,0.035704,1.205985,TRUE
syn-0056,0,0.022158,-0.425812,TRUE
syn-0057,0,0.246843,0.141465,TRUE
syn-0058,0,0.012362,0.489284,TRUE
syn-0059,0,0.009204,0.204792,TRUE
syn-0060,1,0.301342,1.293905,TRUE
syn-0061,0,0.003616,-0.707634,TRUE
syn-0062,0,0.037371,0.246737,TRUE
syn-0063,0,0.042227,-0.008154,TRUE
syn-0064,0,0.020214,0.802161,TRUE
syn-0065,0,0.041875,-0.698886,TRUE
syn-0066,0,0.07862,1.104699,TRUE
syn-0067,0,0.006205,-0.71044,TRUE
syn-0068,0,0.378118,0.714604,TRUE
syn-0069,0,0.096808,0.688232,TRUE
syn-0070,0,0.024104,-1.628213,TRUE
syn-0071,0,0.01433,0.120074,TRUE
syn-0072,0,0.003083,-1.733572,TRUE
syn-0073,1,0.045864,-0.165292,TRUE
syn-0074,0,0.090702,0.553335,TRUE
syn-0075,0,0.087206,0.799393,TRUE
syn-0076,0,0.082746,-0.393927,TRUE
syn-0077,0,0.309849,1.241165,TRUE
syn-0078,1,0.180482,1.274217,TRUE
syn-0079,0,0.031409,0.822267,TRUE
syn-0080,0,0.027362,-0.685317,TRUE
syn-0081,1,0.31688,1.582986,TRUE
syn-0082,0,0.142068,1.496179,TRUE
syn-0083,1,0.024302,-0.071387,TRUE
syn-0084,0,0.146055,0.168887,TRUE
syn-0085,0,0.010651,-1.280708,TRUE
syn-0086,0,0.008806,-0.388131,TRUE
syn-0087,0,0.002127,-1.204152,TRUE
syn-0088,0,0.01071,0.049896,TRUE
syn-0089,0,0.066396,-0.884647,TRUE
syn-0090,0,0.003721,-0.513079,TRUE
syn-0091,0,0.035835,1.06549,TRUE
syn-0092,0,0.040164,-0.56093,TRUE
syn-0093,0,0.035124,-0.964387,TRUE
syn-0094,0,0.058023,0.212622,TRUE
syn-0095,1,0.3916,0.214732,TRUE
syn-0096,0,0.027301,-0.629333,TRUE
syn-0097,0,0.0944,0.548526,TRUE
syn-0098,0,0.152039,-0.887244,TRUE
syn-0099,0,0.04478,-0.329864,TRUE
syn-0100,0,0.608985,1.460057,TRUE
syn-0101,0,0.009337,-1.151892,TRUE
syn-0102,0,0.004183,-1.282146,TRUE
syn-0103,0,0.030293,-0.640856,TRUE
syn-0104,0,0.034756,-0.846409,TRUE
syn-0105,0,0.064078,0.716857,TRUE
syn-0106,0,0.023375,-0.716975,TRUE
syn-0107,0,0.032402,-0.798767,TRUE
syn-0108,1,0.689933,1.145094,TRUE
syn-0109,0,0.055724,-0.108855,TRUE
syn-0110,0,0.015015,-0.263559,TRUE
syn-0111,1,0.673562,0.323296,TRUE
syn-0112,0,0.057491,0.638568,TRUE
syn-0113,0,0.042696,1.538348,TRUE
syn-0114,0,0.089496,0.02157,TRUE
syn-0115,0,0.040847,0.285325,TRUE
syn-0116,0,0.008768,-0.92971,TRUE
syn-0117,0,0.006871,-1.496778,TRUE
syn-0118,0,0.003929,-0.736279,TRUE
syn-0119,0,0.014743,-2.474824,TRUE
syn-0120,0,0.068156,0.020001,TRUE
syn-0121,0,0.089783,1.402751,TRUE
syn-0122,0,0.002657,-0.523616,TRUE
syn-0123,0,0.023683,-1.182003,TRUE
syn-0124,1,0.196798,0.68783,TRUE
syn-0125,0,0.058562,-1.023313,TRUE
syn-0126,0,0.010674,-0.279274,TRUE
syn-0127,0,0.120773,-0.783471,TRUE
syn-0128,0,0.008068,-0.67513,TRUE
syn-0129,0,0.11234,-0.36086,TRUE
syn-0130,0,0.015005,-2.353781,TRUE
syn-0131,0,0.04259,1.245269,TRUE
syn-0132,0,0.01083,0.352002,TRUE
syn-0133,0,0.02242,-1.364759,TRUE
syn-0134,0,0.008062,1.013521,TRUE
syn-0135,1,0.173396,0.936664,TRUE
syn-0136,0,0.024829,0.026708,TRUE
syn-0137,0,0.119251,0.173148,TRUE
syn-0138,0,0.000786,-3.029581,TRUE
syn-0139,0,0.086498,0.044147,TRUE
syn-0140,1,0.073219,0.164371,TRUE
syn-0141,0,0.022282,0.553969,TRUE
syn-0142,0,0.016353,-0.795241,TRUE
syn-0143,0,0.2105,0.948098,TRUE
syn-0144,1,0.075048,-0.531893,TRUE
syn-0145,0,0.003765,-1.847912,TRUE
syn-0146,0,0.043735,-0.194605,TRUE
syn-0147,0,0.043069,0.200163,TRUE
syn-0148,0,0.342829,1.692765,TRUE
syn-0149,0,0.005712,-0.614802,TRUE
syn-0150,0,0.018044,-0.184486,TRUE
syn-0151,0,0.176454,0.0751,TRUE
syn-0152,0,0.049177,1.394286,TRUE
syn-0153,0,0.030762,-0.576672,TRUE
syn-0154,0,0.188201,1.691133,TRUE
syn-0155,0,0.015915,1.416264,TRUE
syn-0156,0,0.010751,-0.786809,TRUE
syn-0157,0,0.043888,-0.911574,TRUE
syn-0158,0,0.004384,-0.282317,TRUE
syn-0159,0,0.104461,0.180751,TRUE
syn-0160,0,0.09222,1.187617,TRUE
syn-0161,0,0.124594,-0.347693,TRUE
syn-0162,0,0.242574,1.33043,TRUE
syn-0163,0,0.042492,-1.675333,TRUE
syn-0164,0,0.075876,1.15625,TRUE
syn-0165,0,0.037987,0.998958,TRUE
syn-0166,0,0.049589,0.555487,TRUE
syn-0167,0,0.442373,1.335688,TRUE
